Country,Year,Gender,BMI,Alcohol,Tuberculosis,Life Expectancy at birth,Syphilis,HIV/AIDS,Self-harm,Stroke,Natural disasters,Epilepsy,Parkinson disease,Alzheimer disease and other dementias,Alcohol use disorders,Diabetes mellitus,Other nutritional deficiencies,Preterm birth complications,Road injury
Algeria,2010,Female,26,0.73,1.281736267,76.79,0.01981811,0.057108941,0.395459293,9.412780506,0,0.162236683,0.347900156,1.724802787,0.012870948,1.8236605,0.006909318,2.48500032,2.550657038
Algeria,2000,Male,23.4,0.083,1.476303154,70.94,0.031663251,0.021,0.882174253,6.770516581,0.030044863,0.242630703,0.300648629,0.950776224,0.061375531,0.694105321,0.015717264,3.091190369,4.914359958
Algeria,2000,Female,25.2,0.52,1.070866932,73.54,0.023642379,0.028,0.519115295,8.433885177,0.01807989,0.195202291,0.239632609,1.254882266,0.014048463,1.053241019,0.008396417,2.498440231,2.081640017
Angola,2019,Male,25.05333333,12.39,9.96906958,60.7,0.776961078,4.463000081,1.566501328,5.763878109,0.019202183,0.400655891,0.165926385,0.451911996,0.175275493,2.795452804,0.043155451,6.263137024,5.397138062
Angola,2019,Female,25.05333333,3.48,7.021649506,65.52,0.539067022,8.342132833,0.369492197,4.923052202,0.012628032,0.246687841,0.126689894,0.746310761,0.043845358,1.617328636,0.071876496,4.921327454,2.919515841
Angola,2015,Male,22.3,13.82,9.105982422,59.13,0.705122047,4.025999989,1.442762657,4.868472092,0.420360613,0.146163862,0.377755693,0,0.156744494,2.488074483,0.046767237,6.598835144,0.303627664
Angola,2015,Female,24.1,3.93,6.413739471,64.5,0.496439476,5.471000004,0.361221292,4.463549517,0.031730282,0.267679004,0.106097527,0.603227501,0.043639536,1.413056844,0.075823652,5.183283569,2.477311279
Angola,2010,Male,21.9,14.31,9.330330933,55.78,0.63550843,3.482999961,1.290792313,5.068962706,0.016318485,0.382759409,0.126846464,0.31603592,0.136569763,2.125680547,0.05534763,7.262689331,3.626037909
Angola,2010,Female,23.6,4.08,6.571757935,60.53,0.467917936,5.87899995,0.338211506,4.265827297,0.010715237,0.28510711,0.09019915,0.477510366,0.038461844,1.254108586,0.084565305,5.783131348,2.399309888
Angola,2000,Male,21.1,1.41,7.242015137,46.77,0.464026955,1.544000015,1.159584534,4.736174154,0.040010999,0.344831195,0.096224524,0.231566922,0.114300642,1.727430364,0.11157459,7.516846802,2.272579693
Angola,2000,Female,22.3,5.26,5.100866318,52.12,0.309823957,2.272999999,0.268711685,3.625204859,0.025979351,0.254421615,0.060493591,0.296255562,0.030585545,0.931593943,0.108333843,6.062091736,1.837252149
Antigua and Barbuda,2019,Male,25.05333333,15.09,0.000360982,74.88,2.14E-06,0.003900269,0,0.031884601,0,0.002579624,0.000832185,0.002549047,0.002989345,0.022083406,0,0.000917471,0
Antigua and Barbuda,2019,Female,25.05333333,4.25,0.000181341,77.96,1.74E-07,0.002196594,0.000380689,0.041037744,0,0.00094994,0.00017899,0.004073772,0.000451089,0.033079573,0,0.000767039,0
Antigua and Barbuda,2015,Male,25.6,12.63,0.000382213,74.43,3.39E-06,0.003339048,0,0.042449773,0.007762608,0.000638935,0.00141108,0,0.002397758,0.019386904,0,0.001285701,8.11E-05
Antigua and Barbuda,2015,Female,27.6,3.53,0.000192007,77.76,3.13E-07,0.002093092,0.000410847,0.042953475,0,0.000469303,0.000423023,0.002050396,0,0.026088578,0,0.001065428,0
Antigua and Barbuda,2010,Male,25.2,2.54,0.000530277,73.56,9.69E-06,0.007691564,0.000137055,0.024295594,0,0.002479286,0.00171104,0.000773429,0.000540547,0.018253126,1.55E-06,0.001640885,0.003402165
Antigua and Barbuda,2010,Female,27,9.07,0.00024027,78.25,9.06E-07,0.002286272,0,0.023372308,0,0.000387869,7.43E-05,0.002747212,0.000510816,0.025884599,1.50E-06,0.001321657,0.001326349
Antigua and Barbuda,2000,Male,24.3,2.45,0.000406432,72,3.73E-06,0.008145861,0.001476437,0.021308443,0,0.002507299,0,0.000299739,0.003252702,0.013751791,4.21E-07,0.00420011,0.005829825
Antigua and Barbuda,2000,Female,25.9,8.78,0.000380149,76.95,5.02E-07,0.002551254,0,0.027337175,0,0.001282865,0.000266903,0.000643516,0.000346899,0.021889698,4.81E-07,0.003307155,0.001170175
Argentina,2019,Male,25.05333333,14.66,0.417529006,73.51,0.006687542,1.000284686,2.985996063,11.27150071,0,0.18541292,0.497226784,1.147111552,0.401450605,3.696278385,0.036717428,1.237209564,4.832539804
Argentina,2019,Female,25.05333333,4.64,0.237634441,79.5,0.008002375,0.480942544,0.761007397,11.6060708,0,0.146861125,0.467294531,2.590041801,0.040072148,3.141522737,0.068042017,0.945523319,1.464985173
Argentina,2015,Male,27.7,14.94,0.448285243,72.92,0.011750863,1.14602957,2.852876869,24.44541091,0.134392848,0.439874671,0.959807482,0,0.490414202,3.414579352,0.03865419,1.329671532,0.139590681
Argentina,2015,Female,27.5,4.72,0.215360669,79.3,0.008341544,0.507172832,0.721773781,11.99869812,0.006941045,0.153533274,0.424273659,2.390519485,0.050259191,3.122449814,0.053605134,1.031230881,1.259428858
Argentina,2010,Male,27.2,14.17,0.376044206,72.14,0.007157957,1.013777301,2.831076305,10.63315673,0.004076313,0.161569455,0.376111603,0.929540606,0.51076924,2.932257543,0.028971812,1.491049606,4.139009404
Argentina,2010,Female,26.9,4.47,0.207822436,78.63,0.006591462,0.426088606,0.664287138,11.51097378,0.002863107,0.108344481,0.357292413,2.149282848,0.044273192,2.994401746,0.055379347,1.153670029,1.112990659
Argentina,2000,Male,26.3,13.73,0.585745852,70.34,0.015707265,1.231510156,2.715667221,12.6409181,0.011139113,0.142617822,0.360943768,0.791178562,0.715692703,3.470327375,0.046043989,2.086918243,3.242142521
Argentina,2000,Female,25.9,4.2,0.310052422,77.83,0.010072637,0.378335327,0.642196341,12.59060196,0.007821406,0.100347095,0.315698429,1.519683664,0.073693001,3.369307446,0.050214805,1.581176895,0.985857541
Armenia,2019,Male,25.05333333,2.14,0.03345784,72.49,4.59E-07,0.04473692,0.0776841,0.928695089,0,0.004494102,0.004708029,0.013321183,0.002339307,0.261746983,0.001659442,0.077319333,0.423091466
Armenia,2019,Female,25.05333333,7.7,0.010157041,79.16,5.50E-07,0.019167744,0.020408303,1.192549846,0,0.00450505,0.006964681,0.02655227,0.00071196,0.451902948,0.000973361,0.052530987,0.16698853
Armenia,2015,Male,25.5,2.3,0.060820848,70.88,5.87E-07,0.05069259,0.122396281,4.296416342,0.022741498,0.007100882,0.016319073,0,0.001049961,0.407254628,0.00106479,0.102352207,0.001982362
Armenia,2015,Female,26.9,8.24,0.007104697,77.83,6.82E-07,0.018080618,0.057563422,1.465365589,0,0.005296443,0.00510912,0.02038222,0,0.739612013,0.001058276,0.067798416,0.114203006
Armenia,2010,Male,25.1,2.34,0.14141997,69.39,0.001017959,0.028394584,0.14075277,1.222418726,0.000662472,0.010148329,0.009150125,0.017156099,0.000984224,0.475287222,4.66E-05,0.125388331,0.373562493
Armenia,2010,Female,26.8,8.38,0.023045623,76.61,0.001000627,0,0.053419679,1.825121172,0.000487666,0.006345051,0.010145819,0.02886409,0,0.828052439,2.91E-05,0.084531747,0.145437511
Armenia,2000,Male,24.5,1.62,0.139066646,68.59,0.000388226,0.007462149,0.073046866,1.353978592,0,0.021491859,0.007294574,0.01092019,0.002807016,0.38035066,0.001116841,0.185133694,0.463419556
Armenia,2000,Female,26.5,5.93,0.024713318,74.91,2.45E-06,0.003037177,0.031709723,2.035417229,0,0.020423398,0.012201442,0.025267422,0,0.8359732,0.001922539,0.127208721,0.13958045
Australia,2019,Male,25.05333333,15.72,0.026605322,81.25,0.002835895,0.046904322,2.337154275,4.328589186,0.002444923,0.168680216,1.278514309,5.786684793,0.292937256,2.461990515,0.008210632,0.138456944,0.910430528
Australia,2019,Female,25.05333333,5.11,0.025970173,84.84,2.42E-05,0.003098677,0.812610274,6.00246527,0.001647624,0.115934509,0.75764965,9.801811978,0.086899035,2.009192383,0.013036672,0.109633995,0.334390574
Australia,2015,Male,27.5,16.45,0.02662495,80.41,9.98E-05,0.040991365,2.353907329,12.64685574,0.101410028,1.108618647,4.750914446,0,0.288354711,2.281999322,0.006189813,0.136281539,0.031295655
Australia,2015,Female,26.7,5.34,0.025238482,84.17,3.23E-05,0.005075364,0.811152229,6.705345891,0.00370494,0.12544408,0.656379239,8.553318083,0.085847036,1.974823785,0.009198064,0.113873605,0.351376884
Australia,2010,Male,27.3,18.73,0.032978684,79.84,0.001134922,0.064349184,1.96093417,4.32275072,0.003084137,0.152116547,0.755659961,3.005242409,0.251894088,1.794485393,0.014894097,0.183561022,1.060208573
Australia,2010,Female,26.5,6.14,0.02189564,83.99,0.001079584,0.006999758,0.627702626,6.928841372,0.002042174,0.135198107,0.472192972,6.159174885,0.092724455,1.771468313,0.022851921,0.12177117,0.3907914
Australia,2000,Male,26.6,17.89,0.032357238,77.13,9.11E-05,0.126610887,1.883189871,4.753002248,0.001817066,0.144242504,0.483143552,1.125406896,0.228247087,1.468391135,0.019501571,0.147950974,1.327914448
Australia,2000,Female,25.9,5.74,0.020648964,82.24,7.15E-05,0.00995799,0.528776326,7.323364632,0.001205191,0.110048068,0.325601087,2.535748252,0.050473753,1.312091515,0.031376635,0.116475384,0.545085527
Austria,2019,Male,25.05333333,18.42,0.023268026,79.44,9.31E-07,0.032349988,1.004769502,2.13558054,0.006427343,0.094551501,0.643249741,1.325175957,0.429685353,1.072123461,0.00855404,0.023307715,0.322017528
Austria,2019,Female,25.05333333,5.76,0.017552533,83.78,0.00102496,0.008625093,0.302370058,3.072854969,0.004650482,0.127457435,0.459237108,2.84908895,0.108552006,1.021280943,0.010445998,0.01667392,0.11373078
Austria,2015,Male,26.5,18.81,0.040994198,78.6,0.001102698,0.03239102,1.051679917,9.185742691,0.048926161,0.4809979,0.72598724,0,0.446996203,1.299052432,0.004201729,0.041727193,0.005144258
Austria,2015,Female,24.6,5.85,0.024218653,83.29,2.72E-06,0.011638526,0.336530623,3.520138637,0.007626744,0.060478914,0.420307207,1.632091866,0.103345787,1.383018769,0.005316412,0.03341513,0.132372426
Austria,2010,Male,26.3,18.87,0.021699714,77.65,1.33E-06,0.038342356,1.029477258,2.002296769,0.013860826,0.045276945,0.407825251,0.383766377,0.362731986,1.097466924,0.005267748,0.062649618,0.419660624
Austria,2010,Female,24.5,5.86,0.017537311,82.99,0.001018518,0.008352787,0.325800435,3.58506237,0.010217542,0.038876884,0.401647391,0.849516704,0.083341239,1.318068152,0.008342756,0.046690047,0.149339376
Austria,2000,Male,25.7,20.67,0.048762377,75.09,4.36E-06,0.037849976,1.167309634,3.186378916,0.008056549,0.053686869,0.18627712,0.1017175,0.240183408,0.47278113,3.72E-05,0.054763926,0.754210638
Austria,2000,Female,24.2,6.45,0.026424356,80.98,8.08E-06,0.013106372,0.438526254,5.872362344,0.006010816,0.042769206,0.232718996,0.192311393,0.059508053,0.715288545,0.005137272,0.041172465,0.251789377
Azerbaijan,2019,Male,25.05333333,0.32,0.377914823,68.78,0.017298106,0.249,0.33291989,5.674029175,0,0.134204358,0.203318204,0.474353331,0.186390357,1.08341882,0.007465992,0.423912933,0.543300713
Azerbaijan,2019,Female,25.05333333,1.67,0.215758186,74.09,0.015131033,0.148830202,0.078365556,7.265364938,0,0.089374829,0.232203263,0.895764179,0.057594161,1.299277422,0.003983892,0.301223177,0.133123474
Azerbaijan,2015,Male,26,0.15,0.361930545,67.94,0.020354714,0.295,0.31388113,15.719097,0.094108644,0.195290382,0.401681545,0,0.165551014,0.943384494,0.006903545,0.606259384,0.012855621
Azerbaijan,2015,Female,27.8,0.78,0.206632479,73.43,0.018663192,0.202,0.077634789,7.346181694,0,0.091125906,0.228242241,0.779752928,0.052429042,1.167619641,0.004197327,0.425457405,0.19815437
Azerbaijan,2010,Male,25.5,0.27,0.510877016,66.29,0.018366237,0.342,0.3248424,5.201685385,0.001810178,0.133827281,0.153883161,0.300925802,0.151059516,0.772295314,0.006585894,0.807610821,0.815329803
Azerbaijan,2010,Female,27.2,1.36,0.291668634,71.83,0.018492679,0.216,0.086525847,6.690364703,0.001130903,0.098875202,0.169382586,0.612176848,0.050994726,1.042761422,0.004305514,0.568501377,0.214670199
Azerbaijan,2000,Male,24.8,0.2,0.985315001,62.57,0.02431853,0.081,0.201908592,2.964147256,0.025031529,0.171005438,0.079325635,0.202148567,0.181082438,0.584755853,0.008836382,1.271176308,0.520756527
Azerbaijan,2000,Female,26.2,1.06,0.562533588,68.5,0.027619249,0.043,0.051421174,3.902683644,0.016414514,0.128771051,0.095198684,0.531886071,0.083920078,0.821016923,0.009616612,0.933310017,0.142243475
Bahamas,2019,Male,25.05333333,2.16,0.000182469,69.85,2.63E-05,0.083,0.01119504,0.112672316,0.031051739,0.00480122,0.009567031,0.021725469,0.016387195,0.071159144,0.000491868,0.009143118,0.023698732
Bahamas,2019,Female,25.05333333,7.66,0.000180571,76.59,5.01E-05,0.051263129,0.002573344,0.111396076,0.020236503,0.003001474,0.007255289,0.031693869,0.003694509,0.08243178,0.000492957,0.007340687,0.006469574
Bahamas,2015,Male,27,2.14,0.000749536,69.73,2.68E-05,0.123856242,0.010778937,0.167005138,0.002703929,0.008112776,0.018416995,0,0.013708827,0.058945061,0.000437708,0.009430336,0.000364243
Bahamas,2015,Female,28.7,7.52,0.00073812,76.08,4.27E-05,0.089790048,0.002185403,0.095144843,0.013118547,0.00261931,0.006363245,0.027392203,0.002938042,0.069648524,0.000447002,0.00760982,0.006741388
Bahamas,2010,Male,26.6,2,0.001051584,69.64,3.25E-05,0.103392711,0.010430575,0.086145245,0.001807859,0.004397727,0.00711349,0.016330317,0.013063977,0.053217275,0.000447238,0.010003972,0.035370129
Bahamas,2010,Female,28.3,6.99,0.001037806,76.25,5.03E-05,0.047358523,0.002296109,0.089894719,0.001186228,0.00266296,0.005758934,0.026069605,0.003097592,0.066993809,0.000499298,0.008200078,0.009787976
Bahamas,2000,Male,25.8,2.39,0.003979733,67.64,1.78E-05,0.259751342,0.005254296,0.059182196,0,0.002482547,0.004904232,0.011038604,0.007604633,0.037952808,0.000318081,0.00799938,0.05799925
Bahamas,2000,Female,27.6,8.15,0.001591587,74.19,2.83E-05,0.153399794,0.00167345,0.070049563,0,0.001803692,0.004263789,0.02045774,0.001660023,0.056556656,0.00037851,0.00730598,0.018177022
Bahrain,2019,Male,25.05333333,0.32,0.005867639,75.04,0.000975328,0.004,0.1315334,0.15883256,0,0.017402881,0.015687367,0.045602781,0.008678621,0.439405674,0.000272276,0.029664996,0.075519871
Bahrain,2019,Female,25.05333333,1.54,0.002512286,77.02,0.000877071,0.001,0.01392423,0.129098061,0,0.00762312,0.010056932,0.050533957,0.0001561,0.305843602,0.000318363,0.026764279,0.009437061
Bahrain,2015,Male,24.8,0.41,0.004904774,75.87,0.000719768,0.004,0.088310993,0.454903879,0.015438931,0.011139719,0.031774766,0,0.005821279,0.325194337,0.000204211,0.029581352,0.001547666
Bahrain,2015,Female,24.8,1.92,0.002100026,77.27,0.000680864,0.002,0.013059036,0.095603149,0,0.006798241,0.00687691,0.03327962,0.00014066,0.238906101,0.000301127,0.027429614,0.014433946
Bahrain,2010,Male,24.9,0.5,0.006831655,73.85,0.000712193,0.005,0.087146146,0.11130668,0,0.010266686,0.011615598,0.027613123,0.005319724,0.263598771,0.00016174,0.013495001,0.11466014
Bahrain,2010,Female,25.2,2.37,0.002925038,75.34,0.000559162,0,0.014386909,0.101835743,0,0.006728038,0.006830103,0.029995338,0.000131959,0.20907622,0.000277193,0.012401179,0.019339857
Bahrain,2000,Male,25.2,0.53,0.011539587,69.55,0.000687771,0.005,0.0372431,0.087937999,0,0.006237074,0.008082834,0.024582033,0.002588083,0.133608965,0.00011035,0.019721796,0.062122478
Bahrain,2000,Female,26,2.52,0.004940784,71.77,0.000581211,0,0.006586122,0.094926149,0,0.004050734,0.004084399,0.024168892,0.000107669,0.111017748,0.000103404,0.017530627,0.017877522
Bangladesh,2019,Male,25.05333333,0,20.97370862,72.99,0.796722856,0.337000009,4.667204483,68.36775032,0.084192182,0.341214499,2.322413051,6.759468136,0.216204391,12.32921125,0.361502463,9.56822644,21.37802248
Bangladesh,2019,Female,25.05333333,0,16.20172382,75.64,0.430197189,0.225832112,1.330647011,65.79863652,0.04925362,1.012068653,1.459144215,8.233346947,0.045766431,16.64711444,1.421818211,7.888586243,3.644830911
Bangladesh,2015,Male,21.3,0.002,37.1578125,72.5,0.745488794,0.2397459,3.953814133,50.27243219,0.558614666,1.722588373,5.132464737,0,0.188789187,9.304904588,0.373123196,11.67907355,0.219296248
Bangladesh,2015,Female,21.8,0.014,28.5523562,74.79,0.397722047,0.161999997,1.380458714,59.49609919,0.059752524,0.865541206,1.115901108,6.017055803,0.038117165,12.35622427,1.426902111,9.761054443,3.723432571
Bangladesh,2010,Male,21,0,44.48117261,68.63,0.6794239,0.186000005,4.712865875,70.49038909,0.069687255,0.360692638,2.007270852,4.283068914,0.188444214,11.81692213,0.678440083,14.80460864,20.62244967
Bangladesh,2010,Female,21.2,0,34.17968433,72.22,0.401083498,0.078676087,1.746049866,60.16492138,0.040564487,0.81983255,0.996462606,4.428052631,0.035855939,10.83429172,1.543792723,12.31879926,4.249550404
Bangladesh,2000,Male,20.5,0.001,51.55143384,64.07,0.918474691,0.016,5.678816177,45.96991593,0.091311016,0.513057243,1.302449471,2.498698634,0.177780596,9.065688495,1.08008757,24.06308289,10.69879974
Bangladesh,2000,Female,19.8,0.007,39.61252905,67.36,0.629223669,0.007121184,2.033064529,39.47934643,0.052772044,0.923471085,0.668805659,2.295412388,0.032220972,6.844404824,1.660369225,19.9176936,3.092200184
Barbados,2019,Male,25.05333333,16.95,0.000462983,74.32,1.24E-05,0.017101774,0.001300343,0.167881496,0,0.007352694,0.010366508,0.040581077,0.003851763,0.100449081,0.000963182,0.002919527,0.017475323
Barbados,2019,Female,25.05333333,4.35,0.00055137,77.66,0.000374565,0.011044576,0.00047286,0.21659058,0,0.002051735,0.006011663,0.073497816,0.000192986,0.159527459,0.002006365,0.002357009,0.005988564
Barbados,2015,Male,26.3,16.47,0.000497517,75.01,1.31E-05,0.022157621,0.001258117,0.14235035,0.000825427,0.008066242,0.034505729,0,0.003328475,0.081754148,0.000917531,0.004054832,0.000273463
Barbados,2015,Female,29.2,4.21,0.000486602,77.36,0.000361716,0.014595412,0.000456775,0.208826876,0,0.001855921,0.005820117,0.071246484,0.000180137,0.152426731,0.001939179,0.003236993,0.010088062
Barbados,2010,Male,25.9,13.73,0.000324188,74.46,1.44E-05,0.031693061,0.003510346,0.113847627,0,0.006100221,0.008450375,0.023338988,0.00400256,0.072937644,0.00038115,0.005861747,0.02043209
Barbados,2010,Female,28.7,3.5,0,77.2,0.000486743,0.021436916,0.001065456,0.192808665,0,0.00249913,0.005965984,0.060951803,0,0.139911262,0.000977643,0.004612338,0.00456791
Barbados,2000,Male,25,11.56,0,72.13,1.60E-05,0.100267285,0.006371627,0.109438214,0,0.003173597,0.006868765,0.00565367,0.000909794,0.072769761,0.001806385,0.013522874,0.034585937
Barbados,2000,Female,27.9,2.96,8.59E-06,76.72,2.30E-05,0.063008137,0.000771008,0.178980469,0,0.001687114,0.004169717,0.022364276,0.000382169,0.138624879,8.42E-05,0.010917689,0.005011202
Belarus,2019,Male,25.05333333,17.93,0.186322436,69.65,0.000518208,0.103,1.616049351,6.674973482,0,0.077277325,0.258867271,0.818157836,1.931517723,0.161913069,0.008265144,0.03710113,0.521458952
Belarus,2019,Female,25.05333333,5.13,0.082290284,79.62,4.07E-05,0.064,0.387926665,9.718185499,0,0.038619104,0.362559253,2.712197834,0.829410928,0.210707103,0.010996674,0.027192896,0.200553168
Belarus,2015,Male,26.4,18.06,0.312331847,68.56,0.000535655,0.125,1.876055767,25.00377953,0.127163576,0.260755703,0.730474729,0,2.028408535,0.147851225,0.009004024,0.048706965,0.007662429
Belarus,2015,Female,26.6,5.29,0.137943004,78.79,5.62E-05,0.084,0.420683317,10.0354431,0,0.041897781,0.372744564,2.55753968,0.981831583,0.19969772,0.012637622,0.037045881,0.255254328
Belarus,2010,Male,26,24.62,0.630652347,64.55,0.000785325,0.084,2.815376604,7.796588104,0.001939222,0.111140359,0.269207762,0.619011333,2.067212372,0.170318841,0.011232227,0.052389677,1.560736462
Belarus,2010,Female,26.5,7.85,0.278530913,76.41,6.98E-05,0.092,0.56703826,11.37903501,0.001561037,0.050508221,0.372923453,2.228800852,0.833172876,0.229490295,0.012727,0.043094366,0.505263551
Belarus,2000,Male,25.2,20.61,0.586984522,63.28,0.005505074,0.019,3.501093582,8.171774998,0,0.118714135,0.197380595,0.517294228,2.09994059,0.254680868,0.015324356,0.137296981,1.312660979
Belarus,2000,Female,26,6.12,0.259244791,74.61,0.000221848,0.013,0.62202152,12.19809088,0,0.054652934,0.279319381,1.792493753,0.601522532,0.447597733,0.016640766,0.095157734,0.445697301
Belgium,2019,Male,25.05333333,16.7,0.02762856,79.29,1.20E-06,0.025975821,1.421064167,3.001234163,0,0.167161596,0.765822079,3.154407084,0.370746789,0.615232594,0.007694106,0.039877867,0.490404748
Belgium,2019,Female,25.05333333,5.13,0.017979404,83.51,1.54E-06,0.010128457,0.689987004,4.406292956,0,0.180607818,0.611757915,6.261572212,0.128863489,0.654103336,0.012942775,0.029801976,0.175595248
Belgium,2015,Male,26.6,18.3,0.035518116,78.48,1.41E-06,0.022403241,1.430094395,7.807281035,0.039869489,0.637741275,2.702100792,0,0.356692724,0.557855296,0.004300526,0.047721652,0.013056762
Belgium,2015,Female,25.6,5.62,0.025796626,82.86,1.78E-06,0.009861194,0.669306499,4.619605777,0,0.159370056,0.510160296,5.412696895,0.142160822,0.680059528,0.010760568,0.037295927,0.202695851
Belgium,2010,Male,26.4,17.7,0.03052232,77.24,2.41E-06,0.044770714,1.564810493,3.180439732,0.002331356,0.137349729,0.480344687,2.01609891,0.286448253,0.589057218,0.002243364,0.054402294,0.670897702
Belgium,2010,Female,25.4,5.4,0.031166002,82.38,0.002142202,0.0193834,0.679509648,4.70269042,0.001698064,0.169609042,0.430815393,4.046301566,0.108308369,0.811599121,0.009849468,0.037271423,0.218102305
Belgium,2000,Male,25.8,19.4,0.072762669,74.54,5.55E-06,0.037304904,1.587504687,3.674069616,0.00058034,0.113501661,0.257205698,1.124841399,0.245304565,0.506312494,0.00942226,0.060754006,1.250662962
Belgium,2000,Female,25.1,5.96,0.032926325,80.74,0.001019214,0.018165827,0.676802491,5.486469896,0.000421945,0.111043077,0.316580462,2.550079415,0.087178295,0.855852139,0.011459542,0.049766958,0.461337022
Belize,2019,Male,25.05333333,10.18,0.00749194,71.36,2.24E-06,0.066999999,0.024216138,0.070467054,0,0.004590801,0.006811283,0.022205557,0.009073948,0.064854317,0.000485483,0.010981855,0.074277645
Belize,2019,Female,25.05333333,2.65,0.001303424,77.77,3.28E-05,0.052152027,0.00337266,0.056370131,0,0.003072176,0.004182356,0.022560327,0.000624989,0.07573516,0.000470888,0.008751738,0.013768482
